Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-22 00:00:00+05:30,939.0560976937982,940.416353017528,921.9163888767762,935.1565551757812,18572478,0.0,0.0
2021-03-23 00:00:00+05:30,934.9525516306611,956.6038970524451,932.2546489163942,946.5377197265625,17421165,0.0,0.0
2021-03-24 00:00:00+05:30,943.0236364808284,943.0236364808284,925.1811610696235,928.309814453125,16822814,0.0,0.0
2021-03-25 00:00:00+05:30,931.3477251906348,931.3477251906348,900.0609538666973,902.985595703125,22001648,0.0,0.0
2021-03-26 00:00:00+05:30,912.3036747318539,913.0745041101142,894.937285828174,904.4366455078125,20180202,0.0,0.0
2021-03-30 00:00:00+05:30,910.4899757979094,929.035337372419,903.0310289019577,920.1480712890625,20441701,0.0,0.0
2021-03-31 00:00:00+05:30,915.0243084377211,929.4887232737643,906.40905776399,908.2681274414062,16250796,0.0,0.0
2021-04-01 00:00:00+05:30,915.0243493680184,920.4654911265429,908.2908359953475,916.77001953125,11723312,0.0,0.0
2021-04-05 00:00:00+05:30,918.1756272004715,918.1982951252521,889.677488179083,903.5071411132812,14875099,0.0,0.0
2021-04-06 00:00:00+05:30,908.6763154469585,909.107066008566,892.8061886370579,899.7437133789062,14009194,0.0,0.0
2021-04-07 00:00:00+05:30,906.8625335398098,928.1284651595439,903.8245518752842,908.15478515625,24266353,0.0,0.0
2021-04-08 00:00:00+05:30,911.8503476805613,916.8380712144985,903.6885746482561,909.2884521484375,15369188,0.0,0.0
2021-04-09 00:00:00+05:30,906.1597285641935,909.7418004729616,897.7938848658578,898.7234497070312,14037885,0.0,0.0
2021-04-12 00:00:00+05:30,888.2718159255257,889.3600561933767,861.632747207554,866.5751342773438,20901482,0.0,0.0
2021-04-13 00:00:00+05:30,872.4018023162757,879.9288134604777,869.6132274999836,875.9385986328125,19411189,0.0,0.0
2021-04-15 00:00:00+05:30,873.4446725605377,889.1787320455074,867.4140446856474,881.6064453125,19723716,0.0,0.0
2021-04-16 00:00:00+05:30,878.1150581636493,884.1456861292494,873.5126894782757,876.0745849609375,15656948,0.0,0.0
2021-04-19 00:00:00+05:30,863.3330655330114,868.9556101628922,856.9850274045621,862.2901611328125,18478808,0.0,0.0
2021-04-20 00:00:00+05:30,866.2803940149797,870.1345408290238,857.1891171314771,862.0408325195312,17203668,0.0,0.0
2021-04-22 00:00:00+05:30,858.0052836359382,868.0714611843059,850.9544197704057,864.4213256835938,14490954,0.0,0.0
